✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:32:04] Time: 421s | Total Latency: 5344.00 ms | Throughput: 181163.77 records/s
[16:32:06] Time: 423s | Total Latency: 5344.00 ms | Throughput: 176377.90 records/s
[16:32:08] Time: 425s | Total Latency: 5065.00 ms | Throughput: 175439.70 records/s
[16:32:10] Time: 427s | Total Latency: 5065.00 ms | Throughput: 175439.70 records/s
[16:32:12] Time: 429s | Total Latency: 6479.00 ms | Throughput: 175307.77 records/s
[16:32:14] Time: 431s | Total Latency: 7230.00 ms | Throughput: 175765.47 records/s
[16:32:16] Time: 433s | Total Latency: 7230.00 ms | Throughput: 174152.73 records/s
[16:32:18] Time: 435s | Total Latency: 6023.00 ms | Throughput: 172064.70 records/s
[16:32:20] Time: 437s | Total Latency: 6023.00 ms | Throughput: 172064.70 records/s
[16:32:22] Time: 439s | Total Latency: 4839.00 ms | Throughput: 170470.87 records/s
[16:32:24] Time: 441s | Total Latency: 4839.00 ms | Throughput: 170226.53 records/s
[16:32:26] Time: 443s | Total Latency: 4839.00 ms | Throughput: 168709.93 records/s
[16:32:28] Time: 445s | Total Latency: 4953.00 ms | Throughput: 167182.00 records/s
[16:32:30] Time: 447s | Total Latency: 4953.00 ms | Throughput: 167182.00 records/s
[16:32:32] Time: 449s | Total Latency: 5210.00 ms | Throughput: 164840.43 records/s
[16:32:34] Time: 451s | Total Latency: 5210.00 ms | Throughput: 166075.37 records/s
[16:32:36] Time: 453s | Total Latency: 5483.00 ms | Throughput: 164141.20 records/s
[16:32:38] Time: 455s | Total Latency: 5483.00 ms | Throughput: 162150.03 records/s
[16:32:40] Time: 457s | Total Latency: 5483.00 ms | Throughput: 162150.03 records/s
[16:32:42] Time: 459s | Total Latency: 5190.00 ms | Throughput: 162864.87 records/s
[16:32:44] Time: 461s | Total Latency: 5190.00 ms | Throughput: 163392.63 records/s
[16:32:46] Time: 463s | Total Latency: 4938.00 ms | Throughput: 160754.23 records/s
[16:32:48] Time: 465s | Total Latency: 5665.00 ms | Throughput: 162532.60 records/s
[16:32:50] Time: 467s | Total Latency: 5665.00 ms | Throughput: 158879.03 records/s
[16:32:53] Time: 469s | Total Latency: 6006.00 ms | Throughput: 160459.27 records/s
[16:32:55] Time: 471s | Total Latency: 6006.00 ms | Throughput: 159975.13 records/s
[16:32:57] Time: 473s | Total Latency: 6006.00 ms | Throughput: 159426.73 records/s
[16:32:59] Time: 475s | Total Latency: 4837.00 ms | Throughput: 160054.20 records/s
[16:33:01] Time: 477s | Total Latency: 5218.00 ms | Throughput: 160533.40 records/s
[16:33:03] Time: 479s | Total Latency: 5218.00 ms | Throughput: 161087.80 records/s
[16:33:05] Time: 481s | Total Latency: 5218.00 ms | Throughput: 159762.47 records/s
[16:33:07] Time: 483s | Total Latency: 5016.00 ms | Throughput: 158453.73 records/s
[16:33:09] Time: 485s | Total Latency: 5843.00 ms | Throughput: 159238.57 records/s
[16:33:11] Time: 487s | Total Latency: 5843.00 ms | Throughput: 159855.57 records/s
[16:33:13] Time: 489s | Total Latency: 5843.00 ms | Throughput: 160119.37 records/s
[16:33:15] Time: 491s | Total Latency: 4981.00 ms | Throughput: 160709.70 records/s
[16:33:17] Time: 494s | Total Latency: 5531.00 ms | Throughput: 161129.27 records/s
[16:33:19] Time: 496s | Total Latency: 5531.00 ms | Throughput: 159376.07 records/s
[16:33:21] Time: 498s | Total Latency: 4834.00 ms | Throughput: 158492.37 records/s
[16:33:23] Time: 500s | Total Latency: 4833.00 ms | Throughput: 159189.50 records/s
[16:33:25] Time: 502s | Total Latency: 5157.00 ms | Throughput: 158330.37 records/s
[16:33:27] Time: 504s | Total Latency: 5157.00 ms | Throughput: 157410.00 records/s
[16:33:29] Time: 506s | Total Latency: 5013.00 ms | Throughput: 159807.63 records/s
[16:33:31] Time: 508s | Total Latency: 5013.00 ms | Throughput: 162212.23 records/s
[16:33:33] Time: 510s | Total Latency: 5013.00 ms | Throughput: 161029.93 records/s
[16:33:35] Time: 512s | Total Latency: 2735.00 ms | Throughput: 159934.20 records/s
[16:33:37] Time: 514s | Total Latency: 3787.00 ms | Throughput: 159256.07 records/s
[16:33:39] Time: 516s | Total Latency: 3787.00 ms | Throughput: 158939.80 records/s
[16:33:41] Time: 518s | Total Latency: 4302.00 ms | Throughput: 157269.50 records/s
[16:33:43] Time: 520s | Total Latency: 4302.00 ms | Throughput: 157135.20 records/s
[16:33:45] Time: 522s | Total Latency: 4302.00 ms | Throughput: 156979.40 records/s
[16:33:47] Time: 524s | Total Latency: 2973.00 ms | Throughput: 159938.60 records/s
[16:33:49] Time: 526s | Total Latency: 3131.00 ms | Throughput: 159996.47 records/s
[16:33:51] Time: 528s | Total Latency: 3131.00 ms | Throughput: 161022.53 records/s
[16:33:53] Time: 530s | Total Latency: 3131.00 ms | Throughput: 159786.07 records/s
[16:33:55] Time: 532s | Total Latency: 2516.00 ms | Throughput: 159524.87 records/s
[16:33:57] Time: 534s | Total Latency: 2516.00 ms | Throughput: 78738.40 records/s
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:34:03] Time: 540s | Total Latency: 8256.00 ms | Throughput: 0.00 records/s
[16:34:05] Time: 542s | Total Latency: 9075.00 ms | Throughput: 0.00 records/s
[16:34:07] Time: 544s | Total Latency: 9550.00 ms | Throughput: 0.00 records/s
